adm1_code,name,code,ChildWellBeingOverallRank,EconomicWellBeingRank,EducationRank,HealthRank,FamilyAndCommunityRank
1,Alabama,AL,46,46,48,42,43
2,Alaska,AK,33,35,41,35,16
3,Arizona,AZ,45,39,41,35,16
4,Arkansas,AR,44,36,38,46,45
5,California,CA,36,47,35,11,41
6,Colorado,CO,20,12,12,43,22
7,Connecticut,CT,5,16,3,2,11
8,Delaware,DE,25,18,29,18,28
9,Florida,FL,40,44,30,47,35
10,Georgia,GA,42,45,39,36,40
11,Hawaii,HI,23,32,33,8,12
12,Idaho,ID,22,14,37,30,13
13,Illinois,IL,21,27,16,9,27
14,Indiana,IN,30,24,23,31,32
15,Iowa,IA,3,4,11,3,5
16,Kansas,KS,19,9,20,24,24
17,Kentucky,KY,35,38,27,16,37
18,Louisiana,LA,48,50,45,50,48
19,Maine,ME,17,23,15,20,9
20,Maryland,MD,16,17,13,22,20
21,Massachusetts,MA,2,11,1,4,8
22,Michigan,MI,31,28,40,14,29
23,Minnesota,MN,1,3,6,1,4
24,Mississippi,MS,50,49,47,49,50
25,Missouri,MO,28,21,26,32,26
26,Montana,MT,24,19,24,39,15
27,Nebraska,NE,9,5,8,21,21
28,Nevada,NV,47,40,49,40,44
29,New Hampshire,NH,4,7,4,25,1
30,New Jersey,NJ,7,20,2,12,14
31,New Mexico,NM,49,48,50,44,49
32,New York,NY,29,43,19,7,34
33,North Carolina,NC,34,30,28,33,36
34,North Dakota,ND,8,2,14,17,6
35,Ohio,OH,26,25,17,19,31
36,Oklahoma,OK,37,29,42,34,38
37,Oregon,OR,32,41,34,23,23
38,Pennsylvania,PA,18,22,10,13,25
39,Rhode Island,RI,27,34,25,6,30
40,South Carolina,SC,41,37,43,37,42
41,South Dakota,SD,14,6,31,26,19
42,Tennessee,TN,38,42,36,28,39
43,Texas,TX,43,33,32,38,47
44,Utah,UT,10,8,21,27,2
45,Vermont,VT,6,10,5,10,3
46,Virginia,VA,11,15,9,15,10
47,Washington,WA,15,26,22,5,17
48,West Virginia,WV,39,31,46,41,33
49,Wisconsin,WI,13,13,7,29,18
50,Wyoming,WY,12,1,18,48,7
